datetime,open_price,high_price,low_price,close_price,volume,buy_volume,transactions,buy_transactions,long_short_ratio,long_long_short_ratio,s_long_short_ratio,long_liquidation,short_liquidation,open_predicted_funding_rate,high_predicted_funding_rate,low_predicted_funding_rate,close_predicted_funding_rate,open_funding_rate,high_funding_rate,low_funding_rate,close_funding_rate,open_open_interest,high_open_interest,low_open_interest,close_open_interest
1568332800,10414.96,10440.55,10153.51,10341.34,19260.071000000393,9723.458000000168,28011,14938.0,,,,,,,,,,,,,,,,,
1568419200,10343.01,10419.97,10222.77,10332.25,20685.72799999982,9537.192000000112,28783,17393.0,,,,,,,,,,,,,,,,,
1568505600,10333.47,10359.2,10024.81,10302.22,20548.461000000156,7433.95700000007,25145,13365.0,,,,,,,,,,,,,,,,,
1568592000,10302.0,10353.81,10080.7,10249.27,19722.015000000723,6842.919000000371,28015,15181.0,,,,,,,,,,,,,,,,,
1568678400,10257.3,10270.63,10136.77,10186.52,22554.53800000014,12686.993000000184,28884,15076.0,,,,,,,,,,,,,,,,,
1568764800,10185.94,10256.65,10097.92,10155.16,20776.18300000084,13404.95000000035,28591,13702.0,,,,,,,,,,,,,,,,,
1568851200,10154.7,10331.62,9530.02,10245.3,26360.789000000503,10277.88500000034,37312,18505.0,,,,,,,,,,,,,,,,,
1568937600,10247.7,10279.3,10070.5,10166.35,23337.878000000743,9555.216000000179,29125,14473.0,,,,,,,,,,,,,,,,,
1569024000,10166.56,10175.3,9912.63,9983.33,23765.850000000126,8275.310000000303,29658,15689.0,,,,,,,,,,,,,,,,,
1569110400,9992.7,10089.52,9857.0,10023.04,24230.19100000038,10629.006000000318,30261,16789.0,,,,,,,,,,,,,,,,,
1569196800,10027.69,10046.91,9620.0,9701.96,32636.334999999857,15258.505000001005,37051,19721.0,,,,,,,,,,,,,,,,,
1569283200,9701.1,9792.83,7761.75,8495.83,74744.49299999271,37011.370000002105,104601,54050.0,,,,,,,,,,,,,,,,,
1569369600,8493.32,8725.24,8200.0,8430.07,48218.84799999991,24969.128000001703,77357,41633.0,,,,,,,,,,,,,,,,,
1569456000,8428.15,8464.4,7700.67,8060.15,60065.94499999965,29931.387999999813,94122,48887.0,,,,,,,,,,,,,,,,,
1569542400,8061.98,8260.0,7851.94,8176.52,40023.94500000539,20950.70000000096,66462,37106.0,,,,,,,,,,,,,,,,,
1569628800,8178.26,8311.0,8001.14,8195.38,33820.91900000329,16862.162000000073,54678,30644.0,,,,,,,,,,,,,,,,,
1569715200,8199.0,8226.35,7888.98,8041.96,35966.05600000032,20057.619000001727,61955,35726.0,,,,,,,,,,,,,,,,,
1569801600,8042.08,8331.89,7709.01,8285.84,54389.87999999656,27913.11100000043,81412,44003.0,,,,,,,,,,,,,,,,,
1569888000,8285.31,8499.0,8171.0,8290.0,39212.194999998035,19547.24400000143,68093,36858.0,,,,,,,,,,,,,,,,,
1569974400,8290.0,8365.92,8149.35,8352.14,30329.17900000132,13840.600000000819,52540,26198.0,,,,,,,,,,,,,,,,,
1570060800,8353.4,8386.0,8020.0,8220.27,33429.97500000429,15177.654000001314,60535,29771.0,,,,,,,,,,,,,,,,,
1570147200,8219.95,8227.42,7979.95,8130.56,28421.111000001983,12437.97600000115,55738,28309.0,,,,,,,,,,,,,,,,,
1570233600,8130.0,8175.0,8010.0,8122.14,30257.41700000382,12199.701000001329,54307,26338.0,,,,,,,,,,,,,,,,,
1570320000,8122.01,8148.43,7760.0,7852.79,41909.038999997705,19790.52800000185,71276,35274.0,,,,,,,,,,,,,,,,,
1570406400,7851.01,8330.0,7764.42,8186.88,62760.298999997554,30547.437000001082,85209,43206.0,,,,,,,,,,,,,,,,,
1570492800,8188.55,8322.01,8103.88,8167.62,44715.16499999692,20732.257000001457,61775,31541.0,,,,,,,,,,,,,,,,,
1570579200,8168.33,8700.0,8113.0,8559.77,65446.308000002056,31442.174999999264,84372,42252.0,,,,,,,,,,,,,,,,,
1570665600,8559.77,8640.89,8419.34,8556.02,44285.66799999878,20092.24100000096,62588,30443.0,,,,,,,,,,,,,,,,,
1570752000,8557.0,8788.0,8210.0,8255.58,69152.55099999817,32852.88199999896,84654,42306.0,,,,,,,,,,,,,,,,,
1570838400,8255.54,8397.45,8248.34,8300.22,37761.51400000008,15308.279000000963,51542,24962.0,,,,,,,,,,,,,,,,,
1570924800,8300.31,8456.0,8137.3,8274.66,43820.91299999631,19428.259999999398,59728,29762.0,,,,,,,,,,,,,,,,,
1571011200,8274.33,8381.77,8205.02,8346.05,61999.820999992866,28780.203999998525,69439,35059.0,,,,,,,,,,,,,,,,,
1571097600,8346.31,8408.62,8080.0,8160.01,86245.62700000568,42903.88899999866,76074,39769.0,,,,,,,,,,,,,,,,,
1571184000,8160.55,8184.0,7900.24,7992.21,70428.10100000189,37094.13700000161,73347,37804.0,,,,,,,,,,,,,,,,,
1571270400,7994.76,8124.63,7930.0,8069.2,58350.46500000041,30213.41500000095,62938,31906.0,,,,,,,,,,,,,,,,,
1571356800,8069.41,8117.3,7817.07,7943.94,988335.8110000632,585425.9110000184,84298,44809.0,,,,,,,,,,,,,,,,,
